,blue_gold,blue_kda,blue_win,blue_towers,blue_barons,blue_dragons,blue_mastery,red_gold,red_kda,red_win,red_towers,red_barons,red_dragons,red_mastery,win,teamId,id
125,37.31428119565194,3.100367965367965,0.32,4.08,0.32,1.52,3509605,45.690229989623134,4.162301587301587,0.56,5.76,0.4,1.6,1701165,0,100,BR1_2329898856
126,41.75162110578313,2.7726854256854256,0.44,3.8,0.32,1.24,932189,45.1524563400158,4.451010989010989,0.48,4.44,0.36,1.6,438359,0,100,BR1_2329896532
127,38.94208327800346,3.8451803751803753,0.4,4.92,0.52,1.56,2298713,43.92281176000817,2.353296703296704,0.32,3.44,0.16,1.24,652311,1,200,BR1_2329836018
128,39.48012905107541,3.5944588744588746,0.32,3.48,0.4,1.12,2189323,41.36108634909721,3.249917748917749,0.48,4.12,0.4,1.48,1279514,1,200,BR1_2329815622
129,37.37963585499422,2.83731746031746,0.44,3.92,0.16,1.4,284320,45.572064028779465,2.348049950049949,0.52,5.0,0.4,1.44,1178896,1,100,BR1_2332286449
130,43.76484769255574,4.182434343434343,0.56,4.92,0.24,1.8,1318516,44.74088411216336,3.0045269175269183,0.52,5.92,0.6,1.4,1767778,1,100,BR1_2331502193
131,38.26609435486759,1.811514596514596,0.44,4.12,0.36,1.12,849472,41.52716910779456,2.6963477633477635,0.48,5.0,0.28,1.76,749405,1,200,BR1_2330223850
132,38.90361786672396,2.183839271839272,0.32,3.28,0.2,1.08,1584867,41.728472912325394,3.498873015873016,0.4,4.52,0.4,1.68,1912264,0,100,BR1_2330059454
133,46.15297227682591,5.290857142857144,0.72,6.0,0.48,1.72,706076,39.58413441183222,3.492150072150072,0.4,5.2,0.36,1.36,1407173,1,100,BR1_2331674732
134,37.48377159472634,2.452849927849928,0.48,4.76,0.48,1.84,2172701,41.5721165827455,4.934865800865801,0.56,5.6,0.4,1.68,2991754,1,200,BR1_2331005470
135,43.24007158844525,4.640936507936508,0.48,5.08,0.52,1.84,1727902,41.98566120802662,3.7317142857142858,0.44,4.84,0.44,1.8,454153,1,200,BR1_2329702432
136,45.96324703560108,3.1586825396825398,0.52,5.04,0.4,1.36,4257033,39.51222539936897,3.6250014430014432,0.44,5.0,0.52,1.6,377487,1,100,BR1_2328929633
137,43.82121649279556,3.326759462759463,0.56,4.84,0.4,1.52,4037180,46.5045179653983,3.7409230769230777,0.52,4.0,0.24,1.16,1178228,0,100,BR1_2328286984
138,46.16128162158768,2.949095238095237,0.48,5.16,0.4,1.48,757604,47.99896123537046,6.328730158730158,0.64,5.72,0.56,1.6,571956,1,100,BR1_2328292656
139,48.124980859029534,2.8966507936507937,0.52,5.04,0.6,1.68,563960,40.68101662404074,2.4962879342879343,0.32,4.36,0.2,1.2,2073647,1,100,BR1_2328281912
140,52.65532303254934,5.1132442002442,0.44,4.6,0.28,1.32,1366312,47.67560069731817,4.02436507936508,0.48,4.52,0.44,1.64,374154,0,100,BR1_2328300197
141,60.69997413803313,3.203193003075356,0.6,4.16,0.16,0.92,189283,64.74711077154262,3.894667672197083,0.48,2.88,0.04,0.36,247597,0,100,BR1_2327622991
142,41.69136588132604,5.05984126984127,0.52,4.68,0.36,1.48,4692345,43.55270920720632,3.7218528138528137,0.64,5.76,0.32,1.72,507691,1,100,BR1_2326217027
143,42.988718666463576,4.268190476190476,0.76,6.44,0.72,2.16,748988,39.36523726868965,4.068841269841269,0.4,4.24,0.2,1.64,1158299,0,200,BR1_2332422592
144,52.09645630801963,3.2023760683760685,0.52,4.8,0.2,1.04,675034,43.40767581911209,3.9158412698412697,0.68,6.6,0.68,2.2,454949,1,200,BR1_2332441383
145,38.10274803729092,2.9256666666666664,0.44,4.72,0.4,1.72,6835763,41.36340772777845,3.3883492063492064,0.6,5.88,0.52,1.88,1793344,1,200,BR1_2331673454
146,42.67843279620963,3.997460317460317,0.44,4.6,0.48,1.36,840030,48.90261543782902,3.2825786435786437,0.56,6.12,0.52,1.8,125817,0,200,BR1_2330442249
147,52.28563244613763,5.531564102564103,0.72,5.6,0.4,1.72,1855233,38.04635699091973,2.478882783882784,0.24,3.8,0.2,1.36,160664,0,200,BR1_2330403771
148,37.35585239599669,1.760802641802642,0.36,3.6,0.32,1.2,1811059,38.106587221258,3.467373737373737,0.56,5.64,0.28,1.92,1540416,1,200,BR1_2330036342
149,44.46957998482,3.618150183150184,0.44,5.2,0.44,1.76,1860528,43.61828287001832,2.904190476190476,0.36,4.56,0.32,1.48,486212,0,100,BR1_2327989392
150,52.65456480800234,4.72031746031746,0.52,5.0,0.44,1.4,2833822,53.71514041879904,4.43903785103785,0.52,5.08,0.36,1.36,1623067,0,200,BR1_2327966217
151,47.10271733232772,4.94352380952381,0.52,5.88,0.4,1.6,666009,47.77280838748885,3.761974358974359,0.4,4.88,0.32,1.28,1238745,0,200,BR1_2327953235
152,45.25380560719497,2.781370775423408,0.52,6.08,0.4,1.8,3421482,41.48884517271763,3.3371269841269844,0.52,5.68,0.4,1.84,477376,1,200,BR1_2327245648
153,47.588092110799614,3.550063492063492,0.56,4.88,0.6,1.68,4497722,39.73498747809343,4.273809523809525,0.44,4.08,0.32,1.52,1450767,0,200,BR1_2331895277
154,50.92080418448912,3.4440805860805868,0.4,5.6,0.28,1.84,4767819,46.96576497595607,5.635887361005009,0.6,5.68,0.48,1.96,388763,1,200,BR1_2331462838
155,50.13627548867962,3.103356643356644,0.4,4.96,0.28,1.72,2492652,41.97350523995661,4.162333333333333,0.4,4.36,0.32,1.28,702129,1,200,BR1_2331359025
156,47.88984003250764,2.857670440670441,0.56,5.64,0.6,1.68,4371918,56.42597239640008,3.876082251082251,0.64,5.88,0.4,1.8,2367966,1,200,BR1_2330585969
157,36.8309835433384,2.403634920634921,0.44,4.76,0.4,1.4,690923,44.74894617263085,3.614952380952381,0.48,4.52,0.4,1.32,275681,0,200,BR1_2328994348
158,43.76333358373496,3.844396825396825,0.44,5.6,0.6,1.76,4642742,40.115920250832886,4.061507936507937,0.56,5.48,0.52,1.96,368855,0,200,BR1_2329032764
159,38.58198559761311,2.657206349206349,0.32,4.48,0.36,1.32,689576,38.41726447094559,4.335142857142857,0.68,5.64,0.6,1.84,380660,0,200,BR1_2327832146
160,40.93310961759322,4.688253968253968,0.48,4.88,0.52,1.68,1485531,38.39154421448631,3.673294372294372,0.32,4.04,0.4,1.56,925392,0,100,BR1_2327791507
161,39.44105856908901,2.9379523809523813,0.64,5.44,0.72,1.72,5557592,36.00060339500951,2.608333333333333,0.36,4.4,0.32,1.64,2722701,0,200,BR1_2327741414
162,39.04112865186587,3.530057720057721,0.6,5.32,0.4,1.68,1935182,45.819894878524735,3.893036075036077,0.56,5.4,0.44,1.72,1037789,0,200,BR1_2327656802
163,39.43986072204135,3.358090909090909,0.48,5.08,0.4,1.8,3582093,38.128429866397,2.4024754134754134,0.56,4.68,0.36,1.28,368907,1,200,BR1_2332094005
164,42.23348232749085,4.619702741702742,0.44,4.24,0.36,1.44,1251013,39.07993040795231,2.3409292929292933,0.44,4.04,0.4,1.44,2348817,0,200,BR1_2331396584
165,41.952814079697966,3.17612987012987,0.48,5.4,0.48,1.72,2594525,38.45082385291621,2.7015743145743145,0.52,5.04,0.6,1.72,1525659,1,200,BR1_2330682780
166,48.5163052360223,3.208714285714286,0.52,4.88,0.32,1.04,3043537,38.7413719021554,2.907855477855478,0.44,4.8,0.4,1.56,604279,0,200,BR1_2330005720
167,50.01791394782413,4.141134199134199,0.64,5.52,0.4,1.52,584453,39.92446730576891,3.396552669552669,0.4,4.72,0.32,1.8,1413223,0,200,BR1_2329325449
168,41.79830524461497,3.3699963369963366,0.44,4.96,0.52,1.96,4415668,41.0654438822832,4.678886002886003,0.68,5.76,0.6,1.88,1087191,0,200,BR1_2328122137
169,43.92861703300301,3.976205128205129,0.64,6.04,0.44,2.04,2375986,47.41337079470716,2.9863903318903318,0.48,5.04,0.28,1.4,1060676,1,200,BR1_2328070942
170,43.38980544237268,2.7357936507936507,0.48,5.2,0.4,2.08,912276,47.39167790439687,3.332933621933622,0.28,3.72,0.32,1.2,3201496,0,200,BR1_2327411632
171,41.66239924779552,2.606702186702187,0.32,3.64,0.24,1.24,1608374,38.47144491088239,2.506647907647908,0.36,4.6,0.4,1.48,314804,1,200,BR1_2326801846
172,39.9800681868211,3.498063492063492,0.56,6.48,0.56,2.04,2716077,43.86712575747824,3.6118105228105226,0.48,4.8,0.44,1.8,322721,1,100,BR1_2330710293
173,51.33946296412366,3.834666666666667,0.48,5.92,0.52,1.76,1188109,46.7371386272726,4.648066378066378,0.64,6.2,0.68,2.24,540169,1,200,BR1_2330673875
174,47.9309362991519,2.847261183261184,0.44,3.48,0.24,0.84,407985,47.88406023393701,4.858269841269842,0.84,6.84,0.64,2.2,1150273,1,200,BR1_2330588287
175,48.83190762417723,3.951269841269841,0.68,6.04,0.72,2.08,1275964,41.861683987783856,2.861911976911977,0.44,4.96,0.32,1.68,222673,0,100,BR1_2330542085
176,50.38054142464301,5.424685758685761,0.56,6.2,0.6,1.92,2042391,44.689341109216095,3.254314574314575,0.48,5.04,0.28,1.44,191087,0,100,BR1_2330526034
177,46.417333410575935,4.305111111111112,0.48,4.56,0.48,1.72,593972,40.02646875829104,4.505413364413364,0.6,6.08,0.68,2.12,3902324,1,200,BR1_2330333322
178,41.94835322483982,3.404603174603174,0.6,5.28,0.32,1.48,933083,41.49220216388731,4.353809523809524,0.68,6.6,0.88,2.04,2371986,1,200,BR1_2330317559
179,40.66808120777032,3.078920634920634,0.64,5.92,0.48,2.08,4757885,36.392476948303695,3.927238095238095,0.48,4.96,0.48,1.92,946011,1,100,BR1_2330304629
180,40.8289411187549,3.3986666666666663,0.64,6.52,0.48,2.12,5597085,43.36704363579036,3.726396825396825,0.52,4.76,0.4,1.56,194954,1,100,BR1_2332338894
181,40.0911135249453,3.2291111111111106,0.72,6.16,0.48,1.8,3083438,43.6508373217834,3.056838605838605,0.48,4.36,0.4,1.6,3549743,1,100,BR1_2332385970
182,42.06766423682395,3.546544011544012,0.32,4.44,0.28,1.36,579592,41.55136125070708,3.5620238095238097,0.52,4.72,0.32,1.64,2996423,1,200,BR1_2332344189
183,41.71097006033252,3.180285714285714,0.68,6.16,0.44,2.0,2870815,43.84384064944117,3.2819157509157515,0.52,5.96,0.4,1.56,910997,0,100,BR1_2332319983
184,43.56888132255239,2.9242765012765024,0.44,4.0,0.32,1.4,2161446,39.78570679946603,4.630873015873016,0.6,5.36,0.24,1.8,2453577,0,200,BR1_2332221637
185,45.28753554023015,4.471333333333333,0.64,6.24,0.6,1.72,2011809,49.71771676222039,5.792000000000001,0.76,7.4,0.64,2.56,5116689,0,100,BR1_2332135021
186,47.243027504992845,3.6180447330447327,0.48,4.84,0.36,1.28,414091,40.5409216421038,2.613127055950585,0.36,4.68,0.44,1.56,3478039,1,100,BR1_2331662366
187,43.92337286914406,3.4522366522366523,0.52,4.84,0.52,1.68,4389531,54.99401689582079,4.599051282051281,0.64,5.8,0.52,1.52,561660,1,200,BR1_2331558974
188,65.00940365818664,4.699663558663558,0.64,3.24,0.08,0.28,316192,55.57240023893571,4.091641192141191,0.6,4.2,0.12,1.0,275861,1,200,BR1_2330976055
189,45.28753554023015,4.471333333333333,0.64,6.24,0.6,1.72,2011809,49.71771676222039,5.792000000000001,0.76,7.4,0.64,2.56,5116689,1,200,BR1_2332135021
190,41.98955450242203,4.617523809523809,0.6,4.84,0.48,1.68,264005,46.89770353659622,4.441893217893218,0.72,5.6,0.48,1.52,75783,0,200,BR1_2332095514
191,45.7563655953559,5.652333333333332,0.76,6.08,0.52,1.88,2533968,39.29643308041119,3.973793650793652,0.52,5.84,0.4,1.64,1008819,1,100,BR1_2331532188
192,42.33631601930797,4.1206481296481305,0.48,4.92,0.24,1.6,3894951,51.41214565883054,4.815031746031747,0.6,4.08,0.36,1.12,1035679,1,200,BR1_2329678096
193,68.43870723439423,5.088001443001444,0.52,4.04,0.0,0.2,131979,58.361583272027495,8.647386724386724,0.6,4.28,0.16,0.72,210735,1,200,BR1_2329647498
194,59.84399086002928,4.810510267510268,0.68,5.76,0.12,0.84,217612,59.96926753601426,6.139870129870129,0.56,3.4,0.16,0.44,137386,1,200,BR1_2329646527
195,37.34017515217483,4.004269841269841,0.6,6.16,0.36,2.12,763114,57.27144995605984,5.677545454545455,0.64,4.8,0.2,1.0,346129,1,200,BR1_2329673137
196,64.34877359961708,6.063904761904763,0.52,4.64,0.2,0.92,242498,63.33711315236171,6.82785137085137,0.72,6.08,0.4,1.2,117359,1,200,BR1_2329559480
197,57.897910046502375,3.983258297258297,0.52,5.16,0.32,1.08,229815,60.32741947881193,6.4759567099567095,0.6,4.08,0.32,0.6,623658,1,200,BR1_2329575109
198,42.219447130660086,5.212616161616161,0.6,5.88,0.72,1.92,8107576,37.885042655079744,4.412603174603174,0.52,6.16,0.24,2.16,1447165,1,100,BR1_2329475432
199,62.28196736961839,4.574989898989899,0.24,2.44,0.04,0.56,71644,60.82023469573712,2.432864130022024,0.48,6.16,0.64,1.92,42700,0,100,BR1_2332565545
200,63.357673247893146,5.205031746031746,0.76,5.2,0.12,0.96,239104,62.12271677511295,3.5858794538794534,0.36,2.84,0.04,0.4,175499,0,200,BR1_2332563813
201,68.89083069805876,4.694581529581529,0.36,3.04,0.08,0.32,248121,65.23381041878271,3.528029526029526,0.68,3.04,0.0,0.08,343271,0,100,BR1_2332552240
202,69.73673617168643,4.5924032634032645,0.32,3.0,0.08,0.24,202383,69.66314924191188,3.6408066378066377,0.64,3.12,0.0,0.08,432516,0,100,BR1_2332161478
203,50.615692473895095,5.142040404040404,0.56,4.92,0.6,1.48,765954,40.23022453403907,3.7887012987012993,0.28,3.92,0.32,1.56,230557,1,100,BR1_2332085947
204,70.68650194818423,4.137813088871912,0.48,3.6,0.08,0.4,157247,69.74777438057157,4.007114330114331,0.48,3.48,0.04,0.2,589957,1,100,BR1_2332070837
205,64.6990139638747,4.074745600804425,0.6,3.56,0.04,0.24,160042,65.6482524516046,3.799096903096904,0.4,3.96,0.12,0.56,413512,1,200,BR1_2331988681
206,67.2629934967953,7.654398046398046,0.52,4.92,0.12,0.56,152249,62.84221036754012,4.106021867021867,0.6,4.12,0.2,0.96,69208,1,200,BR1_2331993724
207,44.952600429507385,3.635646053293113,0.44,4.72,0.52,1.32,1088236,55.2586725290774,4.167619047619048,0.48,5.12,0.4,1.2,400394,0,200,BR1_2329516332
208,55.249372296727664,3.6352760572760574,0.48,5.4,0.36,1.92,5455983,46.542141244556746,3.619619047619048,0.48,5.12,0.2,1.6,692477,0,100,BR1_2329479828
209,48.38537430329853,3.566128427128427,0.32,3.76,0.24,1.12,274492,42.748884767827896,4.110130647130648,0.48,5.36,0.36,2.32,1163276,0,100,BR1_2331566002
210,39.8149844821094,2.7378378288378284,0.52,5.24,0.52,1.68,2121183,52.74931364705156,4.135588744588745,0.44,4.8,0.28,1.36,2460404,1,200,BR1_2331581115
211,41.26667690321207,3.354775668775669,0.44,5.28,0.24,2.2,1482035,72.12781175847,4.841649572649573,0.6,6.2,0.36,1.36,1187026,0,100,BR1_2331497270
212,43.9052326009858,4.887771894771895,0.6,6.08,0.52,2.16,2202457,41.536856692291295,4.397587301587302,0.72,5.36,0.4,1.88,713481,0,100,BR1_2331494085
213,49.367252435174144,3.9224357864357855,0.72,6.8,0.56,2.28,2306041,49.95654741453121,2.920237628384687,0.6,6.12,0.44,1.64,227591,1,100,BR1_2331466518
214,38.06559126236389,2.4972626262626263,0.44,4.92,0.44,1.64,3214368,43.1976996719047,4.4067474747474735,0.56,5.76,0.4,1.6,301408,0,200,BR1_2330855934
215,41.47025624284948,3.318985569985569,0.52,3.88,0.32,1.16,658228,39.95676940415078,3.021020202020202,0.4,5.08,0.32,1.88,353498,0,200,BR1_2330830269
216,43.62373799732673,3.677080808080808,0.52,5.16,0.44,1.68,2491484,41.70854279876964,3.961590187590188,0.68,7.2,0.84,2.2,1243201,1,100,BR1_2330704850
217,38.81107717118996,5.514968475968476,0.68,6.36,0.64,2.16,697470,47.69545493353121,3.794138528138528,0.52,5.08,0.32,1.36,59789,1,200,BR1_2330308775
218,39.91417356048092,1.8546652236652237,0.24,3.04,0.2,1.68,135302,46.61561193580749,3.688709956709957,0.48,4.96,0.16,1.48,334120,1,200,BR1_2330259774
219,37.746384764466505,2.9272900432900437,0.4,4.04,0.28,1.64,1456702,41.1428946702086,2.2935079365079365,0.52,5.32,0.8,1.64,271589,1,200,BR1_2332486339
220,41.60904717974026,3.533816051673194,0.5714285714285714,6.571428571428571,0.7142857142857143,1.809523809523809,42818,41.50525409813119,3.5221139971139976,0.7272727272727273,6.409090909090909,0.5909090909090909,2.409090909090909,141157,0,100,BR1_2332523898
221,38.75095797470421,2.125536796536797,0.4,5.12,0.48,1.76,1429669,41.95635420455783,3.154777777777777,0.52,6.12,0.68,2.0,658631,1,200,BR1_2332502135
222,40.62126533708435,3.5554978354978357,0.36,5.4,0.36,1.6,283553,43.87243361175225,3.90373015873016,0.6,6.0,0.52,2.04,106192,1,200,BR1_2332419028
223,37.23574376237004,3.101693528693529,0.36,4.96,0.48,1.68,2148947,38.76960170465975,2.879059829059829,0.76,7.2,0.8,2.12,2335764,1,200,BR1_2332407942
224,42.54467682704196,3.517539682539683,0.52,7.32,1.0,3.04,72757,43.66322791960957,3.580240974711563,0.56,6.68,0.6,2.0,556157,1,200,BR1_2332406108
225,33.77651359461469,1.992644869750133,0.32,4.04,0.4,1.76,819652,40.60474350231932,3.3882218337218344,0.56,6.92,0.56,2.44,341893,1,200,BR1_2332445284
226,37.593210158897456,2.5936544566544564,0.44,5.36,0.48,1.6,1489801,37.27076358460544,1.952302475302476,0.28,4.96,0.52,1.56,742981,0,200,BR1_2332405387
227,48.34974534978063,3.016707070707071,0.36,6.08,0.32,1.8,409893,40.66987232267147,1.948557165057165,0.36,5.2,0.44,1.84,1010431,1,200,BR1_2332464188
228,40.82131457358356,4.299792207792208,0.52,5.4,0.48,1.68,1318366,34.68508603790647,2.9990043290043293,0.6,5.88,0.56,2.24,1155993,1,200,BR1_2332305293
229,36.963976293472,2.721467976467977,0.44,4.48,0.4,1.84,2966879,37.782451079234285,5.449792207792209,0.68,6.52,0.44,2.48,832202,1,200,BR1_2332280149
230,41.11749406869231,3.662301587301587,0.52,5.92,0.44,2.24,910750,44.47345522372727,3.346192640692641,0.44,5.16,0.2,1.64,228650,1,100,BR1_2332114633
231,37.8963372361296,3.442825396825397,0.44,4.16,0.28,1.48,488564,51.93659848898338,4.147046176046177,0.6,4.84,0.44,1.72,643000,1,200,BR1_2332002785
232,39.96231633724573,3.2631428571428582,0.64,5.12,0.44,1.84,868055,44.65982071155869,3.13491341991342,0.48,5.68,0.48,1.32,989325,1,100,BR1_2330952750
233,42.38044836499313,4.456619047619047,0.48,4.8,0.44,1.92,3940291,39.04254227270843,3.34522077922078,0.52,5.52,0.44,1.8,61256,0,200,BR1_2329684273
234,40.46183844885113,3.475190476190477,0.6,6.04,0.8,1.96,2657416,47.25782825548378,3.033228327228328,0.6,5.8,0.44,1.6,1210341,1,100,BR1_2329640640
235,40.764538263171296,4.461825396825399,0.56,6.6,0.64,2.12,3095886,44.8317118660678,3.3051263181263177,0.56,5.48,0.48,1.16,478418,1,100,BR1_2329568009
236,34.765802395304995,2.369162393162393,0.36,4.36,0.4,1.8,750385,38.38225950059063,4.480073593073593,0.64,5.88,0.52,2.32,363280,0,200,BR1_2329602691
237,48.56423920922245,2.995966810966811,0.52,5.0,0.28,1.72,323168,37.04973633982129,3.007650793650794,0.56,5.48,0.52,1.8,540663,0,200,BR1_2329528707
238,66.68492547512167,4.956942279942281,0.64,3.84,0.12,0.52,170194,64.77051378512613,2.583791442475653,0.44,3.12,0.04,0.12,183439,0,200,BR1_2332460956
239,61.745189005649365,4.341120435120434,0.52,4.24,0.12,0.68,182937,64.77051378512613,2.5837914424756536,0.44,3.12,0.04,0.12,324007,1,200,BR1_2332440046
240,64.77051378512613,2.583791442475653,0.44,3.12,0.04,0.12,778517,60.86954662905712,3.214637251637252,0.36,2.84,0.16,0.72,110053,1,100,BR1_2332398918
241,66.78909178844445,2.495991242675453,0.36,2.96,0.0,0.0,390530,66.18918334351898,3.454791763791764,0.6,3.2,0.04,0.16,112306,0,100,BR1_2332367947
242,64.91980223341336,5.538147186147187,0.64,3.64,0.12,0.48,589868,66.78909178844445,2.495991242675453,0.36,2.96,0.0,0.0,235668,0,200,BR1_2332366197
243,66.62140524729723,2.657696204380415,0.4,2.8,0.0,0.0,493766,69.04084737694,4.898222986164162,0.6,3.2,0.08,0.2,177486,0,100,BR1_2332393980
244,61.24364213606149,3.730607503607504,0.32,2.84,0.2,0.6,255071,66.62140524729723,2.657696204380415,0.4,2.8,0.0,0.0,211798,1,200,BR1_2332342216
245,69.9038439536689,4.874534521034522,0.68,2.96,0.0,0.0,579363,66.62140524729723,2.657696204380415,0.4,2.8,0.0,0.0,116445,0,200,BR1_2332380104
246,49.563877725397205,2.386859806859807,0.56,5.64,0.44,1.44,774442,42.98394352083646,2.727050505050505,0.48,6.0,0.52,1.48,156214,0,100,BR1_2332188968
247,40.59472095825408,2.962285714285714,0.6,5.48,0.4,1.28,1388440,45.39975210566363,3.1287313797313807,0.4,4.6,0.48,1.6,612776,0,200,BR1_2332153843
248,42.40761399829547,3.950710622710623,0.72,5.24,0.32,1.92,3793325,41.27242523989944,2.945825396825396,0.32,3.32,0.24,0.96,5175352,0,200,BR1_2332476852
249,35.62815714179715,2.108285714285714,0.24,2.36,0.2,0.76,975636,38.42780430018189,2.512838383838384,0.6,3.92,0.24,1.64,1167313,0,100,BR1_2332525477
250,41.68225604038096,2.838431457431458,0.44,4.72,0.16,1.64,673628,34.82484922030476,2.2156940836940837,0.24,3.08,0.24,1.08,638326,0,200,BR1_2331756795
